"";"sitio";"id_planta";"fruto";"fecha";"muestreo";"d1";"long";"pf_fr";"ps_fr";"pf_sem";"ps_sem";"d_sem";"l_sem";"p_36h_sem";"hilera";"planta";"d2";"diam_medio";"ps_cas"
"1";"los_sauces";"5_12";1;2022-12-20;1;40,9;48,1;39,36;6,751516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"los_sauces";"5_12";2;2022-12-20;1;38,1;47,6;40,14;6,978184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"los_sauces";"5_12";3;2022-12-20;1;42,8;46,3;45,35;8,49221;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"los_sauces";"5_12";4;2022-12-20;1;39,4;44,3;38,45;6,48707;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"los_sauces";"5_12";5;2022-12-20;1;43,4;48,4;48,59;9,433754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";"los_sauces";"5_12";6;2022-12-20;1;40,2;48,6;41,78;7,454768;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"los_sauces";"5_34";1;2022-12-20;1;41,2;45,2;42,87;7,771522;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"los_sauces";"5_34";2;2022-12-20;1;40,8;48,5;42,28;7,600068;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"los_sauces";"5_34";3;2022-12-20;1;39,1;43,4;34,81;5,429286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"los_sauces";"5_34";4;2022-12-20;1;37,2;42,3;30,52;4,182612;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"11";"los_sauces";"5_34";5;2022-12-20;1;41,5;45,3;41,41;7,347246;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"12";"los_sauces";"5_34";6;2022-12-20;1;40,5;46,9;40,03;6,946218;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"los_sauces";"7_13";1;2022-12-20;1;41,8;47,2;42,86;7,768616;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"14";"los_sauces";"7_13";2;2022-12-20;1;41,7;47,9;44,55;8,25973;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"15";"los_sauces";"7_13";3;2022-12-20;1;41,2;46,8;43,07;7,829642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"los_sauces";"7_13";4;2022-12-20;1;41,9;46,5;44,2;8,15802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"17";"los_sauces";"7_13";5;2022-12-20;1;43,2;49,7;49,43;9,677858;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";"los_sauces";"7_13";6;2022-12-20;1;39,3;45,9;40,24;7,007244;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";"los_sauces";"7_15";1;2022-12-20;1;39,7;48,8;39,67;6,841602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"20";"los_sauces";"7_15";2;2022-12-20;1;42,1;50,3;46;8,6811;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";"los_sauces";"7_15";3;2022-12-20;1;44,4;51,3;51,29;10,218374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"los_sauces";"7_15";4;2022-12-20;1;45,4;53,4;54,09;11,032054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"23";"los_sauces";"7_15";5;2022-12-20;1;43;48,7;45,08;8,413748;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"24";"los_sauces";"7_15";6;2022-12-20;1;42,2;49,6;42,82;7,756992;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"los_sauces";"7_18";1;2022-12-20;1;41;46,2;40,08;6,960748;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";"los_sauces";"7_18";2;2022-12-20;1;38,6;44;33,89;5,161934;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";"los_sauces";"7_18";3;2022-12-20;1;35,9;45,2;29,28;3,822268;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";"los_sauces";"7_18";4;2022-12-20;1;39,6;44,6;37,95;6,34177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";"los_sauces";"7_18";5;2022-12-20;1;43;48,1;47,55;9,13153;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";"los_sauces";"7_18";6;2022-12-20;1;41,6;45,5;39,6;6,82126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"31";"los_sauces";"7_21";1;2022-12-20;1;43,3;48,5;48,08;9,285548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"los_sauces";"7_21";2;2022-12-20;1;42,2;49,3;47,16;9,018196;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
